1505	215	214	2
1463	209	202	1
2380	340	186	1
1792	256	190	1
1582	226	217	1
1484	212	219	1
2149	307	229	2
1428	204	204	1
1673	239	215	1
1421	203	231	1
1771	253	207	1
1407	201	242	1
1939	277	203	2
1659	237	216	2
1533	219	235	2
1750	250	223	2
1729	247	179	2
1442	206	234	1
1365	195	239	1
1477	211	178	1
1470	210	168	2
1393	199	214	1
1617	231	216	2
1617	231	225	2
1505	215	227	2
1743	249	219	1
1428	204	177	2
1225	175	143	2
1610	230	236	1
1764	252	194	1
1295	185	248	2
1729	247	234	2
1379	197	160	2
1225	175	192	1
1372	196	193	2
1897	271	216	1
1323	189	303	1
1330	190	201	1
1498	214	202	2
1638	234	226	2
1435	205	149	1
1169	167	208	1
1316	188	214	1
1519	217	258	2
1477	211	200	2
2100	300	211	1
1743	249	257	2
1393	199	187	2
1981	283	248	2
1407	201	237	1
1260	180	252	1
1435	205	196	2
1568	224	205	2
1491	213	204	2
1218	174	196	2
2107	301	197	1
1302	186	210	2
1575	225	246	1
1974	282	184	1
1610	230	191	2
1561	223	218	1
1428	204	233	1
2191	313	201	2
1771	253	198	1
2254	322	207	2
2401	343	203	2
1862	266	244	1
1211	173	199	1
1435	205	192	2
1449	207	234	2
1442	206	224	1
1631	233	213	2
1386	198	182	2
1757	251	217	2
1323	189	186	1
1330	190	219	1
1631	233	215	1
1449	207	196	1
1988	284	229	2
1799	257	232	2
1337	191	245	2
1596	228	175	2
1981	283	182	2
1610	230	236	2
2345	335	200	2
1225	175	207	1
1827	261	211	1
1645	235	207	1
1120	160	167	2
1918	274	228	1
1414	202	193	1
1281	183	242	1
1169	167	215	1
1393	199	251	1
1932	276	225	1
1428	204	214	2
1953	279	211	2
1323	189	217	2
1246	178	258	2
1778	254	185	2
1554	222	212	1
1708	244	247	2
1554	222	212	1
1288	184	170	2
2212	316	155	2
1575	225	203	2
1897	271	222	2
1589	227	201	1
1519	217	274	1
1582	226	167	2
1435	205	238	1
1610	230	206	2
1414	202	235	1
1694	242	249	1
1372	196	255	1
1603	229	207	2
1470	210	236	1
1617	231	195	2
1855	265	209	2
1785	255	288	2
1407	201	201	2
1722	246	160	2
1610	230	220	1
1218	174	210	2
1995	285	211	2
1631	233	180	1
1442	206	196	1
1533	219	199	2
1799	257	173	1
1106	158	226	1
2065	295	209	2
1596	228	203	1
1491	213	210	1
1456	208	199	1
1519	217	484	2
1435	205	497	2
1400	200	405	1
1617	231	425	1
1435	205	446	2
1428	204	443	2
1624	232	429	1
1561	223	440	2
2149	307	469	1
1449	207	433	1
1827	261	401	2
1407	201	385	1
1463	209	404	2
1309	187	492	2
1449	207	401	2
1463	209	403	1
1722	246	469	2
1400	200	409	1
1477	211	484	1
1673	239	394	2
1379	197	437	1
1449	207	402	1
1386	198	403	1
1344	192	442	1
1449	207	379	2
2079	297	395	2
1722	246	401	2
1582	226	430	2
2177	311	409	1
1659	237	390	1
1400	200	493	2
1561	223	438	1
1414	202	442	2
1414	202	399	1
1603	229	429	1
1505	215	432	1
1344	192	421	1
1463	209	370	1
2296	328	429	2
1456	208	405	1
1414	202	423	2
1470	210	407	1
1484	212	415	1
1407	201	432	2
1631	233	388	1
1351	193	400	1
1456	208	459	2
1757	251	400	2
1400	200	379	2
1554	222	402	2
1834	262	398	2
1960	280	429	1
2121	303	441	1
1414	202	465	2
1624	232	424	2
1414	202	403	2
1477	211	397	1
1372	196	483	2
1841	263	443	1
2023	289	391	1
1197	171	387	2
1365	195	437	1
1589	227	417	2
1869	267	412	2
1540	220	419	1
2345	335	376	1
1407	201	380	1
1218	174	408	2
1918	274	438	2
1904	272	401	1
1617	231	407	1
1428	204	448	1
1365	195	392	1
1498	214	448	2
1610	230	408	2
1428	204	350	1
1393	199	382	1
1715	245	424	1
1554	222	446	1
1428	204	430	2
1176	168	399	1
1239	177	427	2
1617	231	424	1
1407	201	402	2
2177	311	483	2
1813	259	432	2
1393	199	415	2
1526	218	408	1
1134	162	390	2
1582	226	403	1
1897	271	400	1
1435	205	427	2
1624	232	480	1
1400	200	407	2
1288	184	402	2
1463	209	410	2
2030	290	490	1
1274	182	444	1
1435	205	412	1
2072	296	408	2
1561	223	381	1
2030	290	427	1
1883	269	398	1
1407	201	448	1
1624	232	406	2
1232	176	421	1
2184	312	435	2
1379	197	393	2
1351	193	394	2
1435	205	459	1
2100	300	385	1
1750	250	453	1
1701	243	401	2
1288	184	491	2
1323	189	402	1
1505	215	383	2
1477	211	373	2
1645	235	407	1
1456	208	418	2
1561	223	416	2
1393	199	390	1
1547	221	447	1
1547	221	404	1
1568	224	408	1
1393	199	408	2
1232	176	435	1
1575	225	425	1
1407	201	385	2
1484	212	464	2
1554	222	419	1
1603	229	415	2
1421	203	400	2
1764	252	418	2
1659	237	392	2
1330	190	370	2
1449	207	449	1
1414	202	401	2
1428	204	430	1
1547	221	415	2
1498	214	413	1
1456	208	443	2
1687	241	391	2
1449	207	402	1
1456	208	390	2
1449	207	405	2
1372	196	416	2
1400	200	442	1
1400	200	454	1
2205	315	400	1
1827	261	427	2
1638	234	434	2
1456	208	407	2
1575	225	420	1
1260	180	376	1
1365	195	408	1
1414	202	387	2
1519	217	471	2
1477	211	372	2
1225	175	392	1
1617	231	441	2
1624	232	412	2
1862	266	407	2
1540	220	419	1
1386	198	407	2
2205	315	449	2
1456	208	438	2
1554	222	397	2
2184	312	441	2
1421	203	400	1
1365	195	397	2
